"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
rotavirus2,child_immunization,,radio,"ROTAVIRUS 2","1, Yes|2, No|99, Don't Know",,,,,,,y,,,,,
doa9,child_immunization,,text,"Date of Administration (ROTAVIRUS 2)",,,date_dmy,,,,[rotavirus2]=1,y,,,,,
batch9,child_immunization,,text,"Batch Number",,,,,,,[rotavirus2]=1,y,,,,,
source9,child_immunization,,radio,"Is there any source document confirming about vaccination","1, Yes|2, No|99, Don't Know",,,,,,[rotavirus2]=1,y,,,,,
polio3,child_immunization,,radio,"POLIO 3","1, Yes|2, No|99, Don't Know",,,,,,,y,,,,,
doa10,child_immunization,,text,"Date of Administration (POLIO 3)",,,date_dmy,,,,[polio3]=1,y,,,,,
batch10,child_immunization,,text,"Batch Number",,,,,,,[polio3]=1,y,,,,,
source10,child_immunization,,radio,"Is there any source document confirming about vaccination","1, Yes|2, No|99, Don't Know",,,,,,[polio3]=1,y,,,,,
pneumococcal3,child_immunization,,radio,"PNEUMOCOCCAL 3","1, Yes|2, No|99, Don't Know",,,,,,,y,,,,,
doa11,child_immunization,,text,"Date of Administration (PNEUMOCOCCAL 3)",,,date_dmy,,,,[pneumococcal3]=1,y,,,,,
batch11,child_immunization,,text,"Batch Number",,,,,,,[pneumococcal3]=1,y,,,,,
source11,child_immunization,,radio,"Is there any source document confirming about vaccination","1, Yes|2, No|99, Don't Know",,,,,,[pneumococcal3]=1,y,,,,,
vitamin1,child_immunization,,radio,"VITAMIN A 1","1, Yes|2, No|99, Don't Know",,,,,,,y,,,,,
doa12,child_immunization,,text,"Date of Administration (VITAMIN A 1)",,,date_dmy,,,,[vitamin1]=1,y,,,,,
batch12,child_immunization,,text,"Batch Number",,,,,,,[vitamin1]=1,y,,,,,
source12,child_immunization,,radio,"Is there any source document confirming about vaccination","1, Yes|2, No|99, Don't Know",,,,,,[vitamin1]=1,y,,,,,
measles1,child_immunization,,radio,"MEASLES 1","1, Yes|2, No|99, Don't Know",,,,,,,y,,,,,
doa13,child_immunization,,text,"Date of Administration (MEASLES 1)",,,date_dmy,,,,[measles1]=1,y,,,,,
batch13,child_immunization,,text,"Batch Number",,,,,,,[measles1]=1,y,,,,,
source13,child_immunization,,radio,"Is there any source document confirming about vaccination","1, Yes|2, No|99, Don't Know",,,,,,[measles1]=1,y,,,,,
yellowfever1,child_immunization,,radio,"YELLOW FEVER 1","1, Yes|2, No|99, Don't Know",,,,,,,y,,,,,
doa14,child_immunization,,text,"Date of Administration (YELLOW FEVER)",,,date_dmy,,,,[yellowfever1]=1,y,,,,,
batch14,child_immunization,,text,"Batch Number",,,,,,,[yellowfever1]=1,y,,,,,
source14,child_immunization,,radio,"Is there any source document confirming about vaccination","1, Yes|2, No|99, Don't Know",,,,,,[yellowfever1]=1,y,,,,,
vitamin2,child_immunization,,radio,"VITAMIN A 2","1, Yes|2, No|99, Don't Know",,,,,,,y,,,,,
doa15,child_immunization,,text,"Date of Administration (VITAMIN A 2)",,,date_dmy,,,,[vitamin2]=1,y,,,,,
batch15,child_immunization,,text,"Batch Number",,,,,,,[vitamin2]=1,y,,,,,
source15,child_immunization,,radio,"Is there any source document confirming about vaccination","1, Yes|2, No|99, Don't Know",,,,,,[vitamin2]=1,y,,,,,
measles2,child_immunization,,radio,"MEASLES 2","1, Yes|2, No|99, Don't Know",,,,,,,y,,,,,
doa16,child_immunization,,text,"Date of Administration (MEASLES 2)",,,date_dmy,,,,[measles2]=1,y,,,,,
batch16,child_immunization,,text,"Batch Number",,,,,,,[measles2]=1,y,,,,,
source16,child_immunization,,radio,"Is there any source document confirming about vaccination","1, Yes|2, No|99, Don't Know",,,,,,[measles2]=1,y,,,,,
meningitis,child_immunization,,radio,"MENINGITIS 1","1, Yes|2, No|99, Don't Know",,,,,,,y,,,,,
doa17,child_immunization,,text,"Date of Administration (MENINGITIS 1)",,,date_dmy,,,,[meningitis]=1,y,,,,,
batch17,child_immunization,,text,"Batch Number",,,,,,,[meningitis]=1,y,,,,,
source17,child_immunization,,radio,"Is there any source document confirming about vaccination","1, Yes|2, No|99, Don't Know",,,,,,[meningitis]=1,y,,,,,
vitamin3,child_immunization,,radio,"VITAMIN A 3","1, Yes|2, No|99, Don't Know",,,,,,,y,,,,,
doa18,child_immunization,,text,"Date of Administration (VITAMIN A 3)",,,date_dmy,,,,[vitamin3]=1,y,,,,,
batch18,child_immunization,,text,"Batch Number",,,,,,,[vitamin3]=1,y,,,,,
source18,child_immunization,,radio,"Is there any source document confirming about vaccination","1, Yes|2, No|99, Don't Know",,,,,,[vitamin3]=1,y,,,,,
nm,complaints,,descriptive,[mothn],,,,,,,,,,,,,
record_id,complaints,,text,"REPEAT ID",,,integer,,,y,,y,,,,,
complaints_date,complaints,,text,Date,,,datetime_seconds_dmy,,,,,y,,,,,
gen_hlth,complaints,"CLIENT'S COMPLAINT",radio,"Do you have any health problem you would like to report to your Health Provider?","1, Yes | 2, No",,,,,,,y,,,physcialex1_compl,,
complts,complaints,,notes,"Health Problem Description",,,,,,,[gen_hlth]='1',y,,,,,
providers_name,complaints,"HEALTH PROVIDERS RESPONSE",text,"Health Provider's Name",,,,,,,,,,,,,
response_txt,complaints,,notes,"Health Provider's Response",,,,,,,,,,,,,
response_date,complaints,,text,"Response Date",,,datetime_seconds_dmy,,,,,,,,,,
response_id,chatresponse,,text,"RESPONSE ID",,,,,,,,y,,,,,
response_text,chatresponse,,notes,RESPONSE,,,,,,,,y,,,,,
date_respondent,chatresponse,,text,"RESPONSE DATE",,,datetime_seconds_dmy,,,,,,,,,,
respondent,chatresponse,,text,"Name of Respondent",,,,,,,,y,,,,,
insertdate,current_pregnancy,,text,"Date of Registration",,,date_dmy,,,,,y,,,,,
first_ga_date,current_pregnancy,,text,"First gestational Age date",,,date_dmy,,,,,y,,,,,
first_ga_wks,current_pregnancy,,text,"First gestational age (weeks)",,,integer,,,,,y,,,,,
edd,current_pregnancy,,text,EDD,,,date_dmy,,,,,,,,,,
next_anc_schedule_date,current_pregnancy,,text,"Next scheduled ANC date",,,date_dmy,,,,,y,,,,,
planned_anc_facility,current_pregnancy,,text,"Which hospital/health facility do you plan on visiting for your next ANC?",,,,,,,,y,,,,,
planned_delivery_place,current_pregnancy,,text,"Where do you plan to deliver?",,,,,,,,,,,,,
outcome_date,current_pregnancy,,text,"Date of pregnancy outcome",,,date_dmy,,,,,,,,,,
logdate,logbook,,text,"LOG DATE",,,datetime_seconds_dmy,,,,,y,,,,,
